题名,题名说明,分类,主要责任者,责任者说明,古籍版本,"版本类型
稿本、写本、抄本、影抄本、刻本、活字本、套印本、石印本、彩绘本",刊刻时间,刊刻地址,馆藏,馆藏地点（省级单位）,四部分类,子目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200034,史,汉司马迁撰　刘宋裴駰集解,,宋绍兴间淮南路转运司刻本,刻本,宋,江苏 安徽,上海图书馆,上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记二十四卷,史10200032,史,汉司马迁撰　明锺鸣陛校,,明刻本,刻本,明,,山西省图书馆,山西,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200031,史,汉司马迁撰　汉褚少孙、唐司马贞补,,明崇祯元年新安黄之宷刻本,刻本,明,安徽,上海图书馆,上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
史记一百三十卷,史10200031,史,汉司马迁撰　汉褚少孙、唐司马贞补,,明吴勉学刻本,刻本,明,安徽,国家图书馆　上海图书馆,北京 上海,史部/纪传类/通代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200208,史,汉班固撰　唐顔师古注　明陈仁锡评,,明崇祯间刻本,刻本,明,,上海图书馆,上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200207,史,汉班固撰　唐顔师古注　明锺人杰辑评,,明万历四十七年锺人杰刻本,刻本,明,江苏,上海图书馆,上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200206,史,汉班固撰　明葛锡璠汇评,,明崇祯十二年葛鼎刻本,刻本,明,江苏,中国科学院图书馆　上海图书馆,北京 上海,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,百衲本二十四史本,印本,民国,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,四史本（刘承干辑）,,,,,,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,清光绪十三年金陵书局刻本,刻本,清,江苏,南京图书馆,江苏,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉书一百卷,史10200194,史,汉班固撰　唐顔师古注,,清光绪八年桐城方氏刻本,刻本,清,安徽,北京大学图书馆,北京,史部/纪传类/断代之属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
